leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,space,0.750333486591,,,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.09,"Going for a walk 
in the park",0.04,Playing a team sport,,,,,0,0,0,8,,,,,,,,,,,1,0.651219974272,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.08,"Planting flowers 
in a garden",0.06,"Taking a road trip 
with family",,,,,0,1,1,14,,,,,,,,,,,2,0.567658173852,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Going to the movies
with a significant other",0.01,"Driving to school
by yourself",,,,,0,2,2,46,,,,,,,,,,,1,1.75162886642,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.05,"Going camping 
with family",0.05,"Learning how to 
perform card tricks",,,,,0,3,3,29,,,,,,,,,,,2,0.58450682112,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Going to the movies 
by yourself",0.02,"Seeing a play with a 
significant other",,,,,0,4,4,34,,,,,,,,,,,2,0.734424728435,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.07,"Going to a family 
member’s baby shower",0.08,Watching the news,,,,,0,5,5,31,,,,,,,,,,,1,2.53564534034,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Having a picnic 
with family",0.06,"Watching a new 
episode of a television 
show",,,,,0,6,6,17,,,,,,,,,,,2,1.75160740619,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Having a movie marathon 
with a roommate",0.03,"Looking through old 
photo albums",,,,,0,7,7,35,,,,,,,,,,,2,1.30129261175,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,Practicing photography,0.04,"Going to a concert 
with a friend",,,,,0,8,8,10,,,,,,,,,,,2,0.434723894577,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.06,"Playing cards with 
friends",0.06,Studying for a test alone,,,,,0,9,9,21,,,,,,,,,,,1,0.734460184351,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,Shopping online,0.01,"Catching up with friends 
from high school",,,,,0,10,10,18,,,,,,,,,,,1,1.41767091025,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.08,"Watching Netflix at home 
by yourself",0.07,"Meeting new people 
at a party",,,,,0,11,11,32,,,,,,,,,,,2,1.0346552222,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,"Reading news 
articles",0.04,"Watching television
with family",,,,,0,12,12,47,,,,,,,,,,,1,1.03478491562,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Cleaning up around 
the house",0.01,"Playing a tennis match
 with a friend",,,,,0,13,13,38,,,,,,,,,,,1,1.53426567512,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Going on a 
dinner date",0.07,Getting a haircut,,,,,0,14,14,5,,,,,,,,,,,2,2.65139663103,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Having a romantic dinner 
with a significant other",0.06,"Painting your bedroom
a new color",,,,,0,15,15,25,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.09,"Getting a slice of pizza 
by yourself",0.05,Joining a study group,,,,,0,16,16,24,,,,,,,,,,,2,0.750808096258,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Buying clothes 
for yourself",0.02,"Going to a party
with roommates",,,,,0,17,17,48,,,,,,,,,,,2,0.533825277118,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.05,Drawing a picture,0.03,"Getting likes on an 
Instagram picture",,,,,0,18,18,20,,,,,,,,,,,2,0.984265410807,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.05,"Going to a nightclub with 
a group of friends",0.04,Writing journal entries,,,,,0,19,19,37,,,,,,,,,,,2,1.35098823649,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.05,"Going to a work outing
with colleagues",0.07,"Going on vacation 
by yourself",,,,,0,20,20,11,,,,,,,,,,,1,1.33487327513,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.09,"Participating in 
a debate",0.09,"Going to a museum 
alone",,,,,0,21,21,15,,,,,,,,,,,1,1.11775889643,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,"Taking an online
class",0.03,"Gaining Twitter
followers ",,,,,0,22,22,49,,,,,,,,,,,1,1.35114498832,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Buying coffee on 
the way to work",0.04,"Getting retweets 
on a picture",,,,,0,23,23,6,,,,,,,,,,,2,0.884701858973,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Watching YouTube
videos",0.03,"Making breakfast 
for your family",,,,,0,24,24,41,,,,,,,,,,,2,1.08463355992,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,Reading at the library,0.02,"Watching the sunset 
with a significant other",,,,,0,25,25,36,,,,,,,,,,,1,1.16815368412,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Shopping for clothes
with friends",0.04,"Going to the beach 
alone",,,,,0,26,26,40,,,,,,,,,,,2,1.9014288988,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.06,"Taking a road trip 
by yourself",0.02,"Traveling abroad with 
a significant other",,,,,0,27,27,30,,,,,,,,,,,1,1.78481267369,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,"Watching a football 
game from home",0.03,"Attending a family 
barbeque",,,,,0,28,28,4,,,,,,,,,,,2,1.5513370093,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.09,"Going on a double 
date",0.09,Doing your laundry,,,,,0,29,29,33,,,,,,,,,,,2,1.85158429784,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Trying to solve a 
Rubik’s cube",0.01,"Going shopping with
a significant other",,,,,0,30,30,26,,,,,,,,,,,2,1.30097102188,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.06,"Going on Spring Break 
vacation with friends",0.09,"Going for a bicycle
ride alone",,,,,0,31,31,13,,,,,,,,,,,2,2.46834094636,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Practicing an
 instrument",0.02,"Attending a family member’s 
wedding",,,,,0,32,32,2,,,,,,,,,,,2,3.18536932929,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Putting together 
a puzzle",0.01,"Going to the movies 
with a friend",,,,,0,33,33,0,,,,,,,,,,,2,1.2679788,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Going to a sporting
event with friends",0.09,Putting gas in a car,,,,,0,34,34,3,,,,,,,,,,,2,1.28484299779,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Studying abroad 
with friends",0.04,Playing with a pet,,,,,0,35,35,45,,,,,,,,,,,2,1.88462441601,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Getting lunch with 
coworkers",0.01,"Going to a farmer's
market by yourself",,,,,0,36,36,43,,,,,,,,,,,2,0.367889445042,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Getting breakfast with 
a significant other",0.06,Listening to a podcast,,,,,0,37,37,27,,,,,,,,,,,2,0.767890938092,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.08,"Going to a carnival 
with friends",0.09,"Rearranging furniture 
in your house",,,,,0,38,38,23,,,,,,,,,,,2,0.401195170591,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,Taking a nap,0.04,"Getting likes on a 
facebook post",,,,,0,39,39,28,,,,,,,,,,,2,0.50067288219,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.05,"Going to a friend’s 
birthday party",0.08,Reading a book,,,,,0,40,40,7,,,,,,,,,,,2,0.450726890005,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Adding new friends
on facebook",0.08,Running a marathon,,,,,0,41,41,9,,,,,,,,,,,2,1.70159423491,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.03,"Getting breakfast
by yourself",0.01,"Gaining Instagram
followers",,,,,0,42,42,44,,,,,,,,,,,2,1.11795359221,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.04,"Snapchatting with
friends",0.07,"Playing a videogame 
at home",,,,,0,43,43,19,,,,,,,,,,,1,0.984733800404,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.07,Exercising from home,0.04,"Attending a Superbowl 
party",,,,,0,44,44,22,,,,,,,,,,,1,1.50142958318,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Babysitting for a 
family member",0.04,"Going on a hike 
by yourself",,,,,0,45,45,39,,,,,,,,,,,1,1.71783111431,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.07,"Having dinner with 
family",0.08,"Going grocery shopping 
alone",,,,,0,46,46,1,,,,,,,,,,,2,0.917501562042,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.01,"Trying out a new 
recipe at home",0.03,"Spending a day at the 
beach with a friend",,,,,0,47,47,16,,,,,,,,,,,1,0.968063987093,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.02,"Giving a friend a ride
to school",0.04,"Listening to music
by yourself",,,,,0,48,48,42,,,,,,,,,,,1,0.584400764666,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
0.06,"Teaching yourself a 
different language",0.03,"Joining a club 
at school",,,,,0,49,49,12,,,,,,,,,,,2,0.483682412189,,,,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.06,0.06,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",,,,,0,0,0,14,,,,,,,,,1,0,1.46815838013,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.06,0.03,"Taking an art class 
with friends","Walking around Central 
Park with family",,,,,0,1,1,13,,,,,,,,,1,0,0.784640371101,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.03,0.09,"Going to a parade 
with family","Making a friend’s 
favorite dinner",,,,,0,2,2,3,,,,,,,,,2,0,0.700872367481,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.01,0.04,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,3,3,6,,,,,,,,,1,0,1.31796024786,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.07,0.08,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,4,4,1,,,,,,,,,1,0,1.48489692784,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.03,0.08,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",,,,,0,5,5,10,,,,,,,,,1,0,1.21811304963,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.02,0.01,Taking classes with a friend,"Taking a family member
 on a shopping trip",,,,,0,6,6,0,,,,,,,,,1,0,1.10141129536,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.05,0.07,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,7,7,12,,,,,,,,,1,0,0.900895507075,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.09,0.04,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,8,8,9,,,,,,,,,1,0,0.95111830323,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.05,0.08,"Going to the gym 
with friends","Making cookies to 
give to a friend",,,,,0,9,9,8,,,,,,,,,1,0,0.851238137577,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.03,"Going apple-picking 
with family","Planning a surprise 
party for a family member",,,,,0,10,10,4,,,,,,,,,1,0,1.06795814843,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.04,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",,,,,0,11,11,11,,,,,,,,,1,0,1.6350717342,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.01,0.02,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",,,,,0,12,12,2,,,,,,,,,1,0,1.06754823006,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.02,0.07,"Going to a music
festival with friends","Buying flowers for 
a significant other",,,,,0,13,13,5,,,,,,,,,1,0,0.701170631684,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,0.04,0.07,"Talking over the phone
with a friend","Talking over the phone
with a significant other",,,,,0,14,14,7,,,,,,,,,2,0,1.40150711942,,,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.95079111494,,,,,,,,,,,,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,7,15.537,"[(None, 0.0), (2, 8.618), (1, 9.62), (2, 10.237), (3, 10.82), (4, 11.787), (5, 12.985), (6, 13.635), (7, 14.069), (7, 15.537)]",3,10.352,6,6.87,2,8.47,5,5.318,2018_Feb_09_1530,59.9733453803,newer wtp,001,2,
