"Subject","UMS avg","UMS aff","UMS int","Person","Thing","P-T","OPC sum","SNS Online support","SNS Online Victim","SNS InPersonvictim","BIS","BAS drive","BAS fun","BAS reward","IRI sum","IRI PT","IRI fantasy","IRI empathy","IRI personal distress","RSE","AQ","MSPSS avg","MSPSS sig other","MSPSS family","MSPSS friend","Bad-Good","Sad- Happy","Tense-Relaxed","Accepted-Rejected","Age","Gender","%Social Chosen Total","%Social Chosen Pre","%Social Chosen Post","$Pre Social (SvsNS & SvsS)","$Pre Nonsocial"," $Post Social (SvsNS & SvS)","$Post Nonsocial","$Pre Total","$Post Total","$Social Total","$NonSocial Total","$Pre Social (SvsNS)","$Post Social (SvsNS)","% Change Pre Post Social Chosen","$Pre SvS","$Post SvS","$Social Total (SvsNS)"
"exc1",1.37,1.33,1.4,33,12,21,46,33,11,9,15,6,5,4,41,12,7,12,12,23,18,6.33,6.0,6.0,7.0,6,5,6,5,18,0,0.72,0.75,0.6896,1.51,0.16,0.6,0.18,1.67,0.78,2.11,0.34,0.82,0.54,0.06,0.69,0.06,1.36
"exc2",2.37,2.44,2.3,26,12,14,40,24,7,8,14,5,5,5,55,15,10,14,18,17,14,4.58,4.5,4.25,5.0,7,7,6,7,18,1,0.628,0.652,0.604,1.62,0.42,1.14,0.4,2.04,1.54,2.76,0.82,0.94,0.52,0.048,0.68,0.62,1.46
"exc3",1.53,1.22,1.8,17,11,8,44,26,9,8,19,7,7,5,26,12,1,6,7,11,12,6.58,7.0,6.75,6.0,9,9,6,9,18,1,0.735,0.714,0.7551,1.46,0.27,1.63,0.24,1.73,1.87,3.09,0.51,0.95,1.03,-0.041,0.52,0.6,1.98
"exc4",2.44,2.22,2.67,31,19,12,33,29,17,17,14,8,7,4,38,13,8,10,7,19,16,6.5,6.0,7.0,6.5,7,7,7,6,18,0,0.499,0.51,0.489,1.03,0.52,0.98,0.53,1.55,1.51,2.01,1.05,0.55,0.46,0.021,0.48,0.52,1.01
"exc5",1.95,1.89,2.0,26,7,19,44,25,8,10,18,8,4,4,38,13,7,8,11,21,13,5.67,5.5,5.75,5.75,5,7,5,7,19,0,0.712,0.75,0.674,1.5,0.25,1.42,0.31,1.75,1.73,2.92,0.56,0.91,0.85,0.076,0.59,0.57,1.76
"exc6",1.42,1.78,1.1,28,15,13,49,27,9,19,16,10,9,6,44,11,9,11,14,24,22,5.0,7.0,1.0,7.0,6,6,3,7,19,0,0.6,0.64,0.56,1.38,0.44,1.25,0.49,1.82,1.74,2.63,0.93,0.81,0.73,0.08,0.57,0.52,1.54
"exc7",2.32,2.78,1.9,28,5,23,60,29,18,14,15,11,10,7,45,15,1,12,14,28,28,6.5,6.75,6.5,6.25,6,5,7,5,18,0,0.65,0.62,0.68,1.65,0.49,1.66,0.41,2.14,2.07,3.31,0.9,0.92,0.94,-0.06,0.73,0.72,1.86
"exc8",1.47,1.78,1.2,29,11,18,40,30,8,9,13,4,8,4,48,18,9,11,7,12,20,6.75,6.75,7.0,6.5,8,8,5,7,19,1,0.748,0.776,0.72,1.74,0.28,1.74,0.41,2.02,2.15,3.48,0.69,1.12,1.09,0.056,0.62,0.65,2.21
"exc9",3.16,3.33,3.0,31,15,16,21,12,7,22,25,14,15,15,82,27,12,20,23,35,18,3.58,4.0,5.25,1.5,6,6,2,2,18,0,0.33,0.347,0.313,1.09,0.79,0.98,0.85,1.88,1.83,2.07,1.64,0.44,0.37,0.034,0.65,0.61,0.81
"exc10",2.05,1.89,2.2,28,22,6,40,29,10,14,22,13,15,14,84,22,16,26,20,24,23,5.75,6.75,4.25,6.25,6,6,2,5,18,1,0.732,0.708,0.755,1.73,0.27,1.74,0.27,2.0,2.01,3.47,0.54,0.95,1.05,-0.047,0.78,0.69,2.0
"exc11",1.89,1.89,1.9,28,14,14,36,25,25,26,26,11,15,14,56,15,8,18,15,24,20,4.5,4.0,4.25,5.25,5,5,4,4,19,0,0.878,0.84,0.916,1.98,0.22,1.93,0.12,2.2,2.05,3.91,0.34,1.26,1.3,-0.076,0.72,0.63,2.56
"exc12",2.53,2.44,2.6,23,14,9,44,35,17,11,19,11,13,15,39,9,6,12,12,17,25,6.33,5.75,6.75,6.5,5,6,7,7,18,0,0.521,0.575,0.467,0.9,0.37,0.72,0.45,1.27,1.17,1.62,0.82,0.48,0.37,0.108,0.42,0.35,0.85
"exc13",3.11,3.56,2.7,24,15,9,51,31,21,11,11,7,6,12,69,20,9,24,16,17,20,5.08,7.0,4.0,4.25,6,5,6,6,18,1,0.615,0.617,0.612,1.26,0.41,1.25,0.38,1.67,1.63,2.51,0.79,0.74,0.7,0.005,0.52,0.55,1.44
"exc14",1.68,1.44,1.9,28,5,23,45,35,7,10,18,11,13,14,77,24,21,24,8,11,7,7.0,7.0,7.0,7.0,9,9,9,9,18,0,0.959,0.917,1.0,2.0,0.09,2.15,0.0,2.09,2.15,4.15,0.09,1.31,1.48,-0.083,0.69,0.67,2.79
"exc15",2.21,2.56,1.9,22,9,13,42,26,9,8,21,6,11,13,84,21,23,24,16,23,17,6.33,6.75,6.25,6.0,5,7,7,5,19,0,0.647,0.653,0.64,1.68,0.5,1.63,0.49,2.18,2.12,3.31,0.99,0.91,0.9,0.013,0.77,0.73,1.81
"exc16",2.58,2.67,2.5,37,5,32,32,27,13,16,23,13,14,14,68,21,15,19,13,19,18,5.75,5.25,6.0,6.0,9,9,9,9,18,0,0.657,0.66,0.653,1.65,0.38,1.62,0.39,2.03,2.1,3.27,0.77,0.87,0.87,0.007,0.78,0.75,1.71
"exc17",3.16,3.67,2.7,16,5,11,10,8,10,8,18,4,9,11,54,21,3,21,9,19,29,2.5,1.0,5.5,1.0,7,7,7,7,18,0,0.563,0.542,0.5833,1.59,0.56,1.6,0.54,2.15,2.14,3.19,1.1,0.83,0.84,-0.041,0.76,0.76,1.67
"exc18",2.89,3.44,2.4,24,15,9,40,22,19,27,26,10,10,12,59,18,12,18,11,31,18,5.42,6.25,6.0,4.0,8,8,4,7,23,0,0.425,0.52,0.318,1.06,0.58,0.37,0.68,1.64,1.05,1.4,1.26,0.58,0.17,0.202,0.48,0.2,0.75
"exc19",2.05,2.22,1.9,25,12,13,53,30,18,20,21,12,11,12,70,16,15,21,18,24,20,5.25,4.75,6.0,5.0,7,7,4,7,18,0,0.556,0.567,0.533,0.46,0.24,0.14,0.09,0.7,0.23,0.62,0.31,0.27,0.12,0.034,0.19,0.02,0.39
"exc20",2.16,2.11,2.2,21,12,9,32,26,11,16,24,16,16,16,68,18,15,21,14,20,17,4.82,6.0,6.0,2.75,7,6,5,5,18,0,0.444,0.44,0.449,0.87,0.56,0.82,0.52,1.43,1.34,1.69,1.08,0.43,0.37,-0.009,0.44,0.45,0.8
"exc21",1.68,1.89,1.5,32,12,20,46,31,15,16,22,14,14,15,77,27,13,26,11,17,13,5.67,6.0,6.0,5.0,7,5,7,5,19,0,0.768,0.756,0.78,1.79,0.29,1.88,0.32,2.08,2.2,3.67,0.61,1.03,1.19,-0.024,0.76,0.69,2.22
"exc22",2.63,2.44,2.8,28,11,17,48,31,9,9,19,11,14,14,51,13,9,19,10,20,14,4.83,6.0,4.5,5.25,6,5,7,6,18,0,0.859,0.857,0.86,1.88,0.18,1.97,0.1,2.06,2.07,3.85,0.28,1.22,1.31,-0.003,0.66,0.66,2.53
"exc23",2.42,3.0,1.9,27,5,22,43,31,21,30,24,8,11,15,62,15,15,20,12,20,19,7.0,7.0,7.0,7.0,,4,4,5,22,0,0.436,0.438,0.435,0.9,0.68,0.98,0.58,1.58,1.56,1.88,1.26,0.45,0.47,0.003,0.45,0.51,0.92
"exc24",2.37,2.22,2.5,24,13,9,47,32,9,12,18,12,11,12,50,18,11,18,5,22,11,6.08,5.75,6.75,5.75,7,6,6,7,18,0,0.908,0.917,0.9,1.81,0.15,1.84,0.1,1.96,1.94,3.65,0.25,1.27,1.26,0.017,0.54,0.58,2.52
"exc25",2.58,2.89,2.3,23,17,6,38,26,17,19,23,14,15,16,54,13,15,13,20,21,26,5.83,7.0,4.5,6.0,8,8,5,7,21,0,0.68,0.681,0.68,1.68,0.39,1.73,0.41,2.07,2.14,3.41,0.8,0.95,1.0,0.001,0.73,0.73,1.95
"exc26",3.16,3.78,2.6,26,7,19,37,20,8,8,25,13,10,15,71,16,17,21,17,19,16,6.33,6.75,6.0,6.25,7,6,7,8,18,1,0.463,0.49,0.435,1.38,0.67,1.27,0.7,2.05,1.97,2.65,1.37,0.73,0.65,0.065,0.65,0.62,1.38
"exc27",2.89,2.11,3.6,24,8,16,33,23,9,9,22,5,12,12,60,18,12,20,14,17,17,5.25,4.0,6.0,5.75,8,7,6,8,18,0,0.81,0.82,0.8,1.76,0.23,1.78,0.26,1.99,2.04,3.54,0.49,1.14,1.15,0.02,0.62,0.63,2.29
"exc28",2.58,1.78,3.1,32,17,15,41,29,12,13,13,13,15,10,53,12,18,20,3,21,6,6.67,6.25,6.75,7.0,6,6,7,7,20,0,0.778,0.78,0.776,1.67,0.32,1.77,0.27,1.99,2.04,3.44,0.59,1.11,1.09,0.004,0.56,0.68,2.21
"exc29",2.32,3.22,1.5,29,12,17,44,22,11,9,25,10,13,15,37,12,10,4,11,23,23,5.92,7.0,5.75,5.0,6,5,4,4,19,0,0.484,0.449,0.52,1.39,0.79,1.44,0.71,2.18,2.15,2.83,1.5,0.72,0.84,-0.071,0.67,0.6,1.56
"exc30",2.47,2.78,2.2,27,9,18,44,30,9,8,24,9,11,14,75,19,22,21,13,21,20,6.17,6.0,6.5,6.0,7,7,7,8,18,0,0.529,0.5,0.558,1.06,0.5,0.91,0.43,1.56,1.34,1.97,0.93,0.54,0.52,-0.058,0.52,0.39,1.06
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
