uniqueCode,spacebar.keys,spacebar.rt,resp.keys,resp.rt,exResponses.keys,exResponses.rt,example.thisRepN,example.thisTrialN,example.thisN,example.thisIndex,example.ran,example.order,LeftEx,RightEx,LMoneyEx,RMoneyEx,Age *,Sex *,date,expName,psychopyVersion,frameRate,responses.keys,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,responses.rt,response1.keys,response1.corr,response1.rt,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,Loop2.ran,Loop2.order,Left1,Right1,leftmoney1,rightmoney1,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider7.response,slider7.rt,slideKeys7.rt,slider8.response,slider8.rt,slideKeys8.rt,slider9.response,slider9.rt,slideKeys9.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
256697,space,7.306,space,13.767,2,1.205,1,0,3,1,1,2,"Helping a friend
study for a test","Watching television
at home",$0.01 ,$0.04 ,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,0.435,1,0,3,0,1,2,"Going to a family
barbeque","Going shopping
by yourself",$0.03 ,$0.02 ,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,0.385,1,0,3,2,1,2,"Going for a run
by yourself","Having lunch with
a significant other",$0.05 ,$0.05 ,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,44,1,49,"Gaining Instagram
followers","Getting breakfast
by yourself",$0.01 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,35,1,49,"Looking through old 
photo albums","Having a movie marathon 
with a roommate",$0.01 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,1,1,0,50,45,1,49,Playing with a pet,"Studying abroad 
with friends",$0.01 ,$0.05 ,green,0.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,30,1,49,"Traveling abroad with 
a significant other","Taking a road trip 
by yourself",$0.05 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,8,1,49,Playing a team sport,"Going for a walk 
in the park",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,26,1,49,"Going shopping with
a significant other","Trying to solve a 
Rubik’s cube",$0.05 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,16,1,49,"Spending a day at the 
beach with a friend","Trying out a new 
recipe at home",$0.04 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,46,1,49,"Driving to school
by yourself","Going to the movies
with a significant other",$0.02 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,33,1,49,Doing your laundry,"Going on a double 
date",$0.02 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,9,1,49,Running a marathon,"Adding new friends
on facebook",$0.02 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,39,1,49,"Going on a hike 
by yourself","Babysitting for a 
family member",$0.04 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,7,1,49,Reading a book,"Going to a friend’s 
birthday party",$0.01 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,4,1,49,"Attending a family 
barbeque","Watching a football 
game from home",$0.04 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,10,1,49,"Going to a concert 
with a friend",Practicing photography,$0.02 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,28,1,49,"Getting likes on a 
facebook post",Taking a nap,$0.05 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,40,1,49,"Going to the beach 
alone","Shopping for clothes
with friends",$0.02 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,22,1,49,"Attending a Superbowl 
party",Exercising from home,$0.02 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,18,1,49,"Catching up with friends 
from high school",Shopping online,$0.03 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,17,1,49,"Watching a new 
episode of a television 
show","Having a picnic 
with family",$0.02 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,43,1,49,"Going to a farmer's
market by yourself","Getting lunch with 
coworkers",$0.02 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,41,1,49,"Making breakfast 
for your family","Watching YouTube
videos",$0.01 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,29,1,49,"Learning how to 
perform card tricks","Going camping 
with family",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,14,1,49,"Taking a road trip 
with family","Planting flowers 
in a garden",$0.05 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,34,1,49,"Seeing a play with a 
significant other","Going to the movies 
by yourself",$0.03 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,20,1,49,"Getting likes on an 
Instagram picture",Drawing a picture,$0.01 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,6,1,49,"Getting retweets 
on a picture","Buying coffee on 
the way to work",$0.01 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,24,1,49,Joining a study group,"Getting a slice of pizza 
by yourself",$0.03 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,21,1,49,Studying for a test alone,"Playing cards with 
friends",$0.01 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,25,1,49,"Painting your bedroom
a new color","Having a romantic dinner 
with a significant other",$0.02 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,12,1,49,"Joining a club 
at school","Teaching yourself a 
different language",$0.03 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,32,1,49,"Meeting new people 
at a party","Watching Netflix at home 
by yourself",$0.03 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,31,1,49,Watching the news,"Going to a family 
member’s baby shower",$0.03 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,37,1,49,Writing journal entries,"Going to a nightclub with 
a group of friends",$0.01 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,11,1,49,"Going on vacation 
by yourself","Going to a work outing
with colleagues",$0.04 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,48,1,49,"Going to a party
with roommates","Buying clothes 
for yourself",$0.01 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,1,1,49,"Going grocery shopping 
alone","Having dinner with 
family",$0.05 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,49,1,49,"Gaining Twitter
followers ","Taking an online
class",$0.04 ,$0.03 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,0,1,49,"Going to the movies 
with a friend","Putting together 
a puzzle",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,36,1,49,"Watching the sunset 
with a significant other",Reading at the library,$0.02 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,13,1,49,"Going for a bicycle
ride alone","Going on Spring Break 
vacation with friends",$0.05 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,2,1,0,50,3,1,49,Putting gas in a car,"Going to a sporting
event with friends",$0.03 ,$0.05 ,green,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,27,1,49,Listening to a podcast,"Getting breakfast with 
a significant other",$0.04 ,$0.02 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,2,1,49,"Attending a family member’s 
wedding","Practicing an
 instrument",$0.02 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,38,1,49,"Playing a tennis match
 with a friend","Cleaning up around 
the house",$0.03 ,$0.05 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,5,1,49,Getting a haircut,"Going on a 
dinner date",$0.03 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,23,1,49,"Rearranging furniture 
in your house","Going to a carnival 
with friends",$0.01 ,$0.01 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,1,0,50,47,1,49,"Watching television
with family","Reading news 
articles",$0.04 ,$0.04 ,green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,2,1,0,50,15,1,49,"Going to a museum 
alone","Participating in 
a debate",$0.05 ,$0.03 ,green,2.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,1,1,0,50,42,1,49,"Listening to music
by yourself","Giving a friend a ride
to school",$0.01 ,$0.05 ,green,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,1.252,1,0,25,14,1,24,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.045,1,0,25,3,1,24,"Going to a parade 
with family","Making a friend’s 
favorite dinner",0.03,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.13,1,0,25,21,1,24,"Learning to drive 
with a family member","Going dancing with
a significant other",0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.471,1,0,25,15,1,24,"Going to a street fair
with friends",Having a Tweet go viral,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.396,1,0,25,18,1,24,"Going to a karaoke
bar with friends","Going on a weekend
getaway with family",0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.57,1,0,25,16,1,24,"Going to a flea market
with family","Playing volleyball
with friends",0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,5,1,24,"Going to a music
festival with friends","Buying flowers for 
a significant other",0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.354,1,0,25,10,1,24,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.469,1,0,25,12,1,24,"Celebrating holidays 
with family","Talking to a friend 
over Skype",0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,0.698,1,0,25,17,1,24,"Working on a group
project with classmates","Getting likes on an
Instagram picture",0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,1.012,1,0,25,9,1,24,Going on a blind date,"Going to a coffee 
shop with friends",0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,1.344,1,0,25,13,1,24,"Taking an art class 
with friends","Walking around Central 
Park with family",0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.009,1,0,25,23,1,24,"Going to a comedy show 
with a significant other","Watching friends'
Snapchat stories",0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,24,1,24,"Getting ice cream
with friends","Going sight-seeing
with family",0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.829,1,0,25,7,1,24,"Talking over the phone
with a friend","Talking over the phone
with a significant other",0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,1,1,24,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.905,1,0,25,4,1,24,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,6,1,24,"Playing videogames 
with friends","Taking your friend 
on a cruise",0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,20,1,24,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.436,1,0,25,2,1,24,"Going to an amusement 
park with a friend","Baking a cake for a 
family member’s birthday",0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,11,1,24,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,19,1,24,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,2,0,0.736,1,0,25,22,1,24,"Getting verified on 
Instagram","Playing ping-pong
with friends",0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,1,0,1.661,1,0,25,0,1,24,Taking classes with a friend,"Taking a family member
 on a shopping trip",0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,0,,1,0,25,8,1,24,Posting Instagram stories,"Making cookies to 
give to a friend",0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,1,2019-08-07_22h04.54.518,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.038,4,442.104,2.799,4,444.305,4,445.49,446.087,5,448.05,2.023,5,449.405,1.406,5,452.58,3.306,5,456.592,3.837,5,458.923,14.687,5,460.41,460.688,1,0,1,0,1,0
