uniqueCode,spacebar.keys,spacebar.rt,spacebar3.keys,spacebar3.rt,resp.keys,resp.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Left,Right,leftmoney,rightmoney,greenText,Participant ID *,Age *,Sex *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slider3.response,slider3.rt,slideKeys3.rt,slider4.response,slider4.rt,slideKeys4.rt,slider6.response,slider6.rt,slideKeys6.rt,slider5.response,slider5.rt,slideKeys5.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
264427,space,5.77699995,space,2.642999887,return,4.991999865,2,1.829999924,1,0,50,10,1,49,"Going to a concert 
with a friend",Practicing photography,$0.02 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.499000072,1,0,50,44,1,49,"Gaining Instagram
followers","Getting breakfast
by yourself",$0.01 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.947999954,1,0,50,46,1,49,"Driving to school
by yourself","Going to the movies
with a significant other",$0.02 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.498000145,1,0,50,24,1,49,Joining a study group,"Getting a slice of pizza 
by yourself",$0.03 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.898000002,1,0,50,47,1,49,"Watching television
with family","Reading news 
articles",$0.04 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.59800005,1,0,50,17,1,49,"Watching a new 
episode of a television 
show","Having a picnic 
with family",$0.02 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.630999804,1,0,50,18,1,49,"Catching up with friends 
from high school",Shopping online,$0.03 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.417000055,1,0,50,2,1,49,"Attending a family member’s 
wedding","Practicing an
 instrument",$0.02 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.616000175,1,0,50,23,1,49,"Rearranging furniture 
in your house","Going to a carnival 
with friends",$0.01 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.267999887,1,0,50,21,1,49,Studying for a test alone,"Playing cards with 
friends",$0.01 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,3.144000053,1,0,50,38,1,49,"Playing a tennis match
 with a friend","Cleaning up around 
the house",$0.03 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.486999989,1,0,50,33,1,49,Doing your laundry,"Going on a double 
date",$0.02 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.013999939,1,0,50,30,1,49,"Traveling abroad with 
a significant other","Taking a road trip 
by yourself",$0.05 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.980999947,1,0,50,19,1,49,"Playing a videogame 
at home","Snapchatting with
friends",$0.04 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.812999964,1,0,50,48,1,49,"Going to a party
with roommates","Buying clothes 
for yourself",$0.01 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.28399992,1,0,50,43,1,49,"Going to a farmer's
market by yourself","Getting lunch with 
coworkers",$0.02 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.700000048,1,0,50,15,1,49,"Going to a museum 
alone","Participating in 
a debate",$0.05 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.297999859,1,0,50,28,1,49,"Getting likes on a 
facebook post",Taking a nap,$0.05 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.549000025,1,0,50,49,1,49,"Gaining Twitter
followers ","Taking an online
class",$0.04 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,3.078000069,1,0,50,36,1,49,"Watching the sunset 
with a significant other",Reading at the library,$0.02 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.833999872,1,0,50,34,1,49,"Seeing a play with a 
significant other","Going to the movies 
by yourself",$0.03 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.467000008,1,0,50,12,1,49,"Joining a club 
at school","Teaching yourself a 
different language",$0.03 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.434000015,1,0,50,1,1,49,"Going grocery shopping 
alone","Having dinner with 
family",$0.05 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.431999922,1,0,50,35,1,49,"Looking through old 
photo albums","Having a movie marathon 
with a roommate",$0.01 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.547999859,1,0,50,8,1,49,Playing a team sport,"Going for a walk 
in the park",$0.05 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.684000015,1,0,50,6,1,49,"Getting retweets 
on a picture","Buying coffee on 
the way to work",$0.01 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.828999996,1,0,50,26,1,49,"Going shopping with
a significant other","Trying to solve a 
Rubik’s cube",$0.05 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.930000067,1,0,50,5,1,49,Getting a haircut,"Going on a 
dinner date",$0.03 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.612999916,1,0,50,16,1,49,"Spending a day at the 
beach with a friend","Trying out a new 
recipe at home",$0.04 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.366000175,1,0,50,7,1,49,Reading a book,"Going to a friend’s 
birthday party",$0.01 ,$0.04 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.880000114,1,0,50,3,1,49,Putting gas in a car,"Going to a sporting
event with friends",$0.03 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.63499999,1,0,50,0,1,49,"Going to the movies 
with a friend","Putting together 
a puzzle",$0.05 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.464999914,1,0,50,20,1,49,"Getting likes on an 
Instagram picture",Drawing a picture,$0.01 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.180999994,1,0,50,41,1,49,"Making breakfast 
for your family","Watching YouTube
videos",$0.01 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,3.177000046,1,0,50,25,1,49,"Painting your bedroom
a new color","Having a romantic dinner 
with a significant other",$0.02 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.334000111,1,0,50,32,1,49,"Meeting new people 
at a party","Watching Netflix at home 
by yourself",$0.03 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.413000107,1,0,50,4,1,49,"Attending a family 
barbeque","Watching a football 
game from home",$0.04 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.479000092,1,0,50,42,1,49,"Listening to music
by yourself","Giving a friend a ride
to school",$0.01 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.516000032,1,0,50,27,1,49,Listening to a podcast,"Getting breakfast with 
a significant other",$0.04 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.232999802,1,0,50,45,1,49,Playing with a pet,"Studying abroad 
with friends",$0.01 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,1.365999937,1,0,50,14,1,49,"Taking a road trip 
with family","Planting flowers 
in a garden",$0.05 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.828999996,1,0,50,13,1,49,"Going for a bicycle
ride alone","Going on Spring Break 
vacation with friends",$0.05 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.312999964,1,0,50,31,1,49,Watching the news,"Going to a family 
member’s baby shower",$0.03 ,$0.02 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.233999968,1,0,50,39,1,49,"Going on a hike 
by yourself","Babysitting for a 
family member",$0.04 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.396999836,1,0,50,9,1,49,Running a marathon,"Adding new friends
on facebook",$0.02 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1.546999931,1,0,50,11,1,49,"Going on vacation 
by yourself","Going to a work outing
with colleagues",$0.04 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.414000034,1,0,50,40,1,49,"Going to the beach 
alone","Shopping for clothes
with friends",$0.02 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,2.047999859,1,0,50,22,1,49,"Attending a Superbowl 
party",Exercising from home,$0.02 ,$0.03 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.927999973,1,0,50,37,1,49,Writing journal entries,"Going to a nightclub with 
a group of friends",$0.01 ,$0.05 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2.282999992,1,0,50,29,1,49,"Learning how to 
perform card tricks","Going camping 
with family",$0.05 ,$0.01 ,green,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5d3cbeefbaf11000011eda09,22,Female,2019-11-04_15h30.19.317,newer wtp (1),3.1.2,60,return,4.708999872,1,279.1209998,7.398999929,6,284.793,2,289.642,290.664,1,292.3940001,2.325999975,3,295.8100002,3.355000019,2,300.2809999,301.0680001,1,0,1,0,1,0
