selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.486781371291727,None,space,30.179696405190043,10.486781371291727,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,0,0,14,,,,,0,0,0,0,,,,,,,40.69467942533083,None,46.79627919616178,48.797042739461176,46.79627919616178,48.797042739461176,None,46.79627919616178,48.797042739461176,48.81374303204939,None,50.83150886406656,52.7982264647726,50.83150886406656,51.79793566511944,51.81461729679722,52.7982264647726,52.8149432411883,None,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,1,1,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.80031493434217,56.79940676887054,54.80031493434217,56.79940676887054,2,0.43380857550073415,54.80031493434217,56.79940676887054,56.81608373532072,None,58.81842879275791,60.80058645096142,58.81842879275791,59.80024775501806,59.816960488213226,60.80058645096142,60.817240402218886,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,2,2,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.80302356905304,64.80175804661121,62.80302356905304,64.80175804661121,None,,62.80302356905304,64.80175804661121,64.81843905628193,None,66.83562795445323,68.80294114991557,66.83562795445323,67.80264941731002,67.81931736436673,68.80294114991557,68.81961251806933,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,2,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,3,3,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.80533752497286,72.8041121235583,70.80533752497286,72.8041121235583,2,0.12446377018932253,70.80533752497286,72.8041121235583,72.82079717644956,None,74.82134767400566,76.80529802595265,74.82134767400566,75.80480973154772,75.8216723742662,76.80529802595265,76.82197965763044,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,4,4,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.80763841827866,80.80645935819484,78.80763841827866,80.80645935819484,2,1.7460122359916568,78.80763841827866,80.80645935819484,80.82314565510023,None,82.82378417009022,84.80764028429985,82.82378417009022,83.8072253895225,83.82393159146886,84.80764028429985,84.82432284904644,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,5,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.80993215809576,88.80881810036954,86.80993215809576,88.80881810036954,2,0.42360135505441576,86.80993215809576,88.80881810036954,88.82548262621276,None,90.82605520589277,92.80999156215694,90.82605520589277,91.80955614033155,91.82624896860216,92.80999156215694,92.82662778557278,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,6,6,21,,,,,0,0,0,0,,,,,,,,,94.8122545115184,96.81116937811021,94.8122545115184,96.81116937811021,2,94.8122545115184,96.81116937811021,96.82784976577386,None,98.84503462072462,100.81234626111109,98.84503462072462,99.812050485285,99.82877037185244,100.81234626111109,100.82904002233408,None,,,,,,,,,,,,,,,,,,,0.2451592757133767,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,6,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,7,7,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.81353931687772,104.81352189998142,102.81353931687772,104.81352189998142,2,0.44371255568694323,102.81353931687772,104.81352189998142,104.83019544521812,None,106.83071297523566,108.8146969168447,106.83071297523566,107.81430348218419,107.83124698896427,108.8146969168447,108.83135149022564,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,8,8,9,,,,,0,0,0,0,,,,,,,,,110.81684012524784,112.81587566586677,110.81684012524784,112.81587566586677,2,110.81684012524784,112.81587566586677,112.83253770356532,None,114.83303626161069,116.81698599155061,114.83303626161069,115.8167561510345,115.83343933778815,116.81698599155061,116.83372080686968,None,,,,,,,,,,,,,,,,,,,0.1122004259377718,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,9,9,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.81815261091106,120.81822601065505,118.81815261091106,120.81822601065505,2,0.31873716483823955,118.81815261091106,120.81822601065505,120.83485508069862,None,122.83535052847583,124.81940413767006,122.83535052847583,123.81909498816822,123.83578128507361,124.81940413767006,124.83607270673383,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,9,9,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,10,10,15,,,,,0,0,0,0,,,,,,,,,126.83665337273851,128.82053592335433,126.83665337273851,128.82053592335433,2,126.83665337273851,128.82053592335433,128.83726451836992,None,130.8378514047945,132.8217734543141,130.8378514047945,131.82145310833585,131.83811016974505,132.8217734543141,132.83842242939863,None,,,,,,,,,,,,,,,,,,,0.41215256054420024,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,11,11,3,,,,,0,0,0,0,,,,,,,,,134.82373782875948,136.8229394517839,134.82373782875948,136.8229394517839,2,134.82373782875948,136.8229394517839,136.8394686857937,None,138.84018060052767,140.82412877539173,138.84018060052767,139.82381371653173,139.84045149502344,140.82412877539173,140.84078397077974,None,,,,,,,,,,,,,,,,,,,0.2729289239505306,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,11,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,12,12,11,,,,,0,0,0,0,,,,,,,,,142.84134846401867,144.8252985049039,142.84134846401867,144.8252985049039,2,142.84134846401867,144.8252985049039,144.84194841305725,None,146.84251757152379,148.82649249373935,146.84251757152379,147.8261805451475,147.84283200837672,148.82649249373935,148.84312902821694,None,,,,,,,,,,,,,,,,,,,0.23923225176986307,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,12,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,13,13,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.82843416405376,152.82768243935425,150.82843416405376,152.82768243935425,2,1.2198419854976237,150.82843416405376,152.82768243935425,152.84430964337662,None,154.84489435260184,156.82881640223786,154.84489435260184,155.82843074284028,155.84507754084188,156.82881640223786,156.84548683732282,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,13,13,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,14,14,18,,,,,0,0,0,0,,,,,,,,,158.84605972806457,160.8299562742468,158.84605972806457,160.8299562742468,2,158.84605972806457,160.8299562742468,160.84666340926196,None,162.8472390990937,164.83116892399266,162.8472390990937,163.83087128214538,163.8475513587473,164.83116892399266,164.84784962271806,None,,,,,,,,,,,,,,,,,,,1.010104896267876,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,14,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,15,15,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.83318928128574,168.83234860608354,166.83318928128574,168.83234860608354,2,0.4468304867623374,166.83318928128574,168.83234860608354,168.84900660067797,None,170.8495757591445,172.8335024738917,170.8495757591445,171.83308633510023,171.84989175095689,172.8335024738917,172.8501638895832,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,15,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,16,16,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.83626926853321,176.83474156004377,174.83626926853321,176.83474156004377,2,0.011599637102335691,174.83626926853321,176.83474156004377,176.85135881148744,None,178.85189842351247,180.83590258122422,178.85189842351247,179.83547089155763,179.85214879107662,180.83590258122422,180.85254440293647,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,16,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,17,17,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.8385726499837,184.83708101918455,182.8385726499837,184.83708101918455,2,0.2812874676892534,182.8385726499837,184.83708101918455,184.85371413244866,None,186.85426183091477,188.83823488699272,186.85426183091477,187.83783149986994,187.85449944681022,188.83823488699272,188.85489816882182,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,17,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,18,18,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.84088971605524,192.8394155021524,190.84088971605524,192.8394155021524,2,0.25471616245340556,190.84088971605524,192.8394155021524,192.85607163060922,None,194.8566302146064,196.84058585378807,194.8566302146064,195.84019615128636,195.85695864702575,196.84058585378807,196.85719315276947,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,19,19,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.843175680493,200.84173443436157,198.843175680493,200.84173443436157,2,0.10028199781663716,198.843175680493,200.84173443436157,200.85843348293565,None,202.84429253754206,204.84290012076963,202.84429253754206,203.8425331223989,203.85929966135882,204.84290012076963,204.8596128539648,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,19,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,20,20,17,,,,,0,0,0,0,,,,,,,,,206.8454846602399,208.84407731471583,206.8454846602399,208.84407731471583,2,206.8454846602399,208.84407731471583,208.86077791836578,None,210.86133556929417,212.84526850434486,210.86133556929417,211.8449811260216,211.86165902554058,212.84526850434486,212.86192712094635,None,,,,,,,,,,,,,,,,,,,1.8578139399178326,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,20,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,21,21,1,,,,,0,0,0,0,,,,,,,,,214.84683477890212,216.8464413441252,214.84683477890212,216.8464413441252,None,214.84683477890212,216.8464413441252,216.86311799963005,None,218.8803883837536,220.84761884913314,218.8803883837536,219.8473501317203,219.86400781513657,220.84761884913314,220.86430234694853,None,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,22,22,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.84908528754022,224.84881221596152,222.84908528754022,224.84881221596152,2,0.41399470588658005,222.84908528754022,224.84881221596152,224.86547674180474,None,226.86605398671236,228.84997852437664,226.86605398671236,227.84958695573732,227.8663466523867,228.84997852437664,228.8666645102203,None,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
1,0,22,22,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,23,23,8,,,,,0,0,0,0,,,,,,,,,230.85242217371706,232.85116224968806,230.85242217371706,232.85116224968806,2,230.85242217371706,232.85116224968806,232.86786596348975,None,234.8684547159355,236.8523406876484,234.8684547159355,235.8520567304222,235.8687293427065,236.8523406876484,236.86905062175356,None,,,,,,,,,,,,,,,,,,,0.3864912870340049,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,23,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,24,24,10,,,,,0,0,0,0,,,,,,,,,238.85470378410537,240.85351725958753,238.85470378410537,240.85351725958753,2,238.85470378410537,240.85351725958753,240.87019889138173,None,242.8707537431037,244.85468885535374,242.8707537431037,243.8543650880456,243.87106817984022,244.85468885535374,244.87137888441794,None,,,,,,,,,,,,,,,,,,,0.7679581174161285,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
2,0,24,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.85527076548897,None,space,19.79100406100042,246.85527076548897,None,013,001,2020_Jan_31_0940,Experiment1,3.1.2,59.98274358043973,
